行政區別,村里別,投開票所別,號次1,號次2,號次3,號次4,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
南投市,龍泉里,0001,247,168,0,4,419,2,421,0,421,447,868,48.50%
南投市,康壽里,0002,170,176,2,5,353,1,354,0,354,293,647,54.71%
南投市,康壽里,0003,164,158,4,2,328,0,328,0,328,320,648,50.62%
南投市,三民里,0004,187,197,1,2,387,1,388,0,388,398,786,49.36%
南投市,仁和里,0005,142,128,1,2,273,0,273,0,273,201,474,57.59%
南投市,南投里,0006,150,117,0,6,273,1,274,0,274,264,538,50.93%
南投市,彰仁里,0007,107,77,0,2,186,2,188,0,188,145,333,56.46%
南投市,崇文里,0008,220,190,2,8,420,0,420,0,420,455,875,48.00%
南投市,三興里,0009,171,226,4,10,411,4,415,0,415,587,1002,41.42%
南投市,三興里,0010,215,320,2,10,547,1,548,0,548,596,1144,47.90%
南投市,三興里,0011,260,265,3,10,538,3,541,0,541,573,1114,48.56%
南投市,三興里,0012,185,217,1,7,410,3,413,0,413,461,874,47.25%
南投市,三興里,0013,202,270,2,13,487,3,490,0,490,492,982,49.90%
南投市,三和里,0014,220,240,4,8,472,6,478,0,478,488,966,49.48%
南投市,三和里,0015,155,163,1,4,323,1,324,0,324,306,630,51.43%
南投市,三和里,0016,256,257,2,6,521,2,523,0,523,477,1000,52.30%
南投市,嘉興里,0017,323,171,7,16,517,5,522,0,522,549,1071,48.74%
南投市,嘉興里,0018,215,181,3,9,408,3,411,0,411,532,943,43.58%
南投市,嘉和里,0019,234,270,2,17,523,3,526,0,526,539,1065,49.39%
南投市,嘉和里,0020,186,204,3,9,402,3,405,0,405,524,929,43.60%
南投市,嘉和里,0021,281,182,2,17,482,2,484,0,484,597,1081,44.77%
南投市,嘉和里,0022,239,192,3,10,444,3,447,1,448,734,1182,37.82%
南投市,平和里,0023,215,219,1,5,440,1,441,0,441,610,1051,41.96%
南投市,平和里,0024,179,229,1,7,416,4,420,0,420,465,885,47.46%
南投市,平和里,0025,237,227,0,2,466,1,467,0,467,433,900,51.89%
南投市,平和里,0026,269,255,2,9,535,2,537,0,537,512,1049,51.19%
南投市,平和里,0027,197,251,1,0,449,3,452,0,452,411,863,52.38%
南投市,平和里,0028,221,197,4,7,429,0,429,0,429,644,1073,39.98%
南投市,振興里,0029,130,114,1,5,250,5,255,0,255,306,561,45.45%
南投市,振興里,0030,214,144,1,8,367,3,370,0,370,344,714,51.82%
南投市,振興里,0031,200,128,2,2,332,0,332,0,332,344,676,49.11%
南投市,千秋里,0032,213,219,2,13,447,7,454,0,454,518,972,46.71%
南投市,軍功里,0033,234,257,2,9,502,5,507,0,507,742,1249,40.59%
南投市,軍功里,0034,294,268,7,8,577,2,579,0,579,773,1352,42.83%
南投市,軍功里,0035,280,284,1,11,576,2,578,0,578,852,1430,40.42%
南投市,東山里,0036,96,71,0,1,168,2,170,0,170,174,344,49.42%
南投市,營南里,0037,245,296,4,10,555,1,556,0,556,535,1091,50.96%
南投市,營南里,0038,270,352,4,9,635,2,637,0,637,596,1233,51.66%
南投市,營北里,0039,218,316,1,7,542,2,544,0,544,401,945,57.57%
南投市,營北里,0040,162,289,3,5,459,0,459,0,459,389,848,54.13%
南投市,營北里,0041,153,356,5,4,518,3,521,0,521,501,1022,50.98%
南投市,營北里,0042,159,359,2,6,526,3,529,0,529,494,1023,51.71%
南投市,營北里,0043,167,350,3,8,528,1,529,0,529,497,1026,51.56%
南投市,營北里,0044,146,263,2,2,413,1,414,0,414,349,763,54.26%
南投市,內興里,0045,178,159,1,2,340,5,345,0,345,281,626,55.11%
南投市,內興里,0046,139,254,2,1,396,0,396,0,396,541,937,42.26%
南投市,內興里,0047,189,300,0,13,502,2,504,0,504,675,1179,42.75%
南投市,內興里,0048,168,290,3,10,471,5,476,0,476,638,1114,42.73%
南投市,內興里,0049,207,289,1,4,501,2,503,0,503,592,1095,45.94%
南投市,內新里,0050,299,216,1,5,521,2,523,0,523,522,1045,50.05%
南投市,內新里,0051,261,241,1,6,509,2,511,0,511,574,1085,47.10%
南投市,內新里,0052,234,276,2,3,515,1,516,0,516,532,1048,49.24%
南投市,光輝里,0053,81,161,3,2,247,0,247,0,247,221,468,52.78%
南投市,光榮里,0054,81,391,3,2,477,0,477,0,477,423,900,53.00%
南投市,光明里,0055,67,346,0,1,414,3,417,0,417,365,782,53.32%
南投市,光華里,0056,58,270,2,5,335,0,335,0,335,302,637,52.59%
南投市,漳興里,0057,354,274,6,12,646,4,650,0,650,638,1288,50.47%
南投市,漳興里,0058,297,265,3,6,571,0,571,0,571,623,1194,47.82%
南投市,漳和里,0059,273,317,4,8,602,3,605,0,605,757,1362,44.42%
南投市,漳和里,0060,204,235,0,8,447,1,448,0,448,527,975,45.95%
南投市,漳和里,0061,269,286,4,10,569,0,569,0,569,678,1247,45.63%
南投市,漳和里,0062,231,283,3,5,522,3,525,0,525,610,1135,46.26%
南投市,漳和里,0063,215,212,3,6,436,1,437,0,437,537,974,44.87%
南投市,漳和里,0064,274,267,1,9,551,6,557,0,557,530,1087,51.24%
南投市,平山里,0065,224,225,4,3,456,3,459,0,459,519,978,46.93%
南投市,平山里,0066,210,197,2,8,417,3,420,0,420,539,959,43.80%
南投市,平山里,0067,230,222,0,8,460,4,464,0,464,569,1033,44.92%
南投市,平山里,0068,221,226,3,9,459,1,460,0,460,585,1045,44.02%
南投市,平山里,0069,192,230,1,4,427,2,429,0,429,714,1143,37.53%
南投市,新興里,0070,256,211,0,16,483,0,483,0,483,564,1047,46.13%
南投市,新興里,0071,249,219,3,11,482,3,485,0,485,694,1179,41.14%
南投市,新興里,0072,222,185,3,9,419,6,425,0,425,802,1227,34.64%
南投市,新興里,0073,307,288,3,13,611,3,614,0,614,776,1390,44.17%
南投市,永豐里,0074,177,171,6,1,355,6,361,0,361,441,802,45.01%
南投市,永豐里,0075,224,153,2,2,381,0,381,0,381,597,978,38.96%
南投市,永豐里,0076,203,187,3,5,398,0,398,0,398,522,920,43.26%
南投市,福興里,0077,214,162,1,3,380,4,384,0,384,586,970,39.59%
南投市,福興里,0078,206,225,2,10,443,3,446,0,446,491,937,47.60%
南投市,福興里,0079,222,187,3,5,417,2,419,0,419,534,953,43.97%
南投市,鳳山里,0080,257,145,4,8,414,2,416,0,416,580,996,41.77%
南投市,永興里,0081,186,162,6,15,369,2,371,0,371,369,740,50.14%
南投市,鳳鳴里,0082,169,69,0,2,240,2,242,0,242,334,576,42.01%
南投市,福山里,0083,190,193,0,14,397,6,403,0,403,554,957,42.11%
南投市,福山里,0084,134,214,3,17,368,1,369,0,369,476,845,43.67%
竹山鎮,竹山里,0085,293,251,1,6,551,3,554,0,554,545,1099,50.41%
竹山鎮,竹山里,0086,208,142,3,6,359,0,359,0,359,405,764,46.99%
竹山鎮,中正里,0087,135,133,1,4,273,2,275,0,275,294,569,48.33%
竹山鎮,中山里,0088,244,151,1,1,397,3,400,0,400,426,826,48.43%
竹山鎮,中山里,0089,261,189,2,6,458,0,458,0,458,640,1098,41.71%
竹山鎮,中山里,0090,264,213,4,0,481,2,483,0,483,689,1172,41.21%
竹山鎮,中山里,0091,329,285,7,8,629,5,634,0,634,691,1325,47.85%
竹山鎮,雲林里,0092,263,235,1,9,508,1,509,0,509,570,1079,47.17%
竹山鎮,雲林里,0093,256,190,1,9,456,3,459,0,459,552,1011,45.40%
竹山鎮,雲林里,0094,262,297,3,10,572,4,576,0,576,661,1237,46.56%
竹山鎮,竹圍里,0095,229,225,3,3,460,2,462,0,462,571,1033,44.72%
竹山鎮,竹圍里,0096,225,195,4,8,432,3,435,0,435,649,1084,40.13%
竹山鎮,桂林里,0097,323,227,0,2,552,5,557,0,557,644,1201,46.38%
竹山鎮,桂林里,0098,305,257,3,7,572,6,578,0,578,663,1241,46.58%
竹山鎮,桂林里,0099,304,174,0,6,484,0,484,0,484,526,1010,47.92%
竹山鎮,下坪里,0100,124,96,2,4,226,2,228,0,228,242,470,48.51%
竹山鎮,下坪里,0101,133,149,2,3,287,3,290,0,290,375,665,43.61%
竹山鎮,中和里,0102,308,118,2,5,433,1,434,0,434,422,856,50.70%
竹山鎮,中崎里,0103,347,235,2,5,589,1,590,0,590,779,1369,43.10%
竹山鎮,秀林里,0104,52,40,0,0,92,1,93,0,93,106,199,46.73%
竹山鎮,秀林里,0105,122,60,2,7,191,2,193,0,193,242,435,44.37%
竹山鎮,大鞍里,0106,77,84,0,1,162,0,162,0,162,216,378,42.86%
竹山鎮,延和里,0107,298,253,1,4,556,3,559,0,559,787,1346,41.53%
竹山鎮,延和里,0108,321,227,2,13,563,4,567,0,567,673,1240,45.73%
竹山鎮,延和里,0109,254,214,1,6,475,5,480,0,480,562,1042,46.07%
竹山鎮,延和里,0110,269,145,1,7,422,3,425,0,425,578,1003,42.37%
竹山鎮,延祥里,0111,296,236,4,11,547,1,548,0,548,711,1259,43.53%
竹山鎮,延祥里,0112,252,183,2,5,442,4,446,0,446,547,993,44.91%
竹山鎮,延祥里,0113,292,227,0,8,527,3,530,0,530,656,1186,44.69%
竹山鎮,延正里,0114,207,139,0,5,351,4,355,0,355,501,856,41.47%
竹山鎮,延正里,0115,184,143,0,9,336,3,339,0,339,424,763,44.43%
竹山鎮,延平里,0116,269,201,1,10,481,2,483,0,483,753,1236,39.08%
竹山鎮,延平里,0117,233,179,1,10,423,0,423,0,423,476,899,47.05%
竹山鎮,延平里,0118,181,51,1,2,235,0,235,0,235,280,515,45.63%
竹山鎮,延山里,0119,198,155,0,3,356,2,358,0,358,429,787,45.49%
竹山鎮,山崇里,0120,289,179,2,4,474,2,476,0,476,627,1103,43.16%
竹山鎮,山崇里,0121,159,101,3,3,266,1,267,0,267,358,625,42.72%
竹山鎮,社寮里,0122,278,263,1,9,551,0,551,0,551,697,1248,44.15%
竹山鎮,中央里,0123,280,202,2,5,489,3,492,0,492,579,1071,45.94%
竹山鎮,富州里,0124,111,119,2,5,237,1,238,0,238,335,573,41.54%
竹山鎮,田子里,0125,138,105,0,7,250,2,252,0,252,284,536,47.01%
竹山鎮,??里,0126,187,121,0,8,316,3,319,0,319,430,749,42.59%
竹山鎮,??里,0127,266,151,0,7,424,3,427,0,427,541,968,44.11%
竹山鎮,德興里,0128,105,69,2,2,178,1,179,0,179,180,359,49.86%
竹山鎮,德興里,0129,136,118,1,7,262,2,264,0,264,222,486,54.32%
竹山鎮,福興里,0130,25,45,0,2,72,1,73,0,73,109,182,40.11%
竹山鎮,福興里,0131,95,95,1,3,194,1,195,0,195,193,388,50.26%
竹山鎮,鯉魚里,0132,101,83,0,3,187,1,188,0,188,249,437,43.02%
竹山鎮,鯉魚里,0133,61,51,0,2,114,1,115,0,115,147,262,43.89%
竹山鎮,坪頂里,0134,89,125,2,2,218,1,219,0,219,216,435,50.34%
竹山鎮,瑞竹里,0135,130,87,0,2,219,0,219,0,219,332,551,39.75%
竹山鎮,桶頭里,0136,107,69,0,6,182,0,182,0,182,271,453,40.18%
竹山鎮,桶頭里,0137,53,82,0,0,135,0,135,0,135,214,349,38.68%
集集鎮,集集里,0138,198,314,2,10,524,4,528,0,528,483,1011,52.23%
集集鎮,和平里,0139,183,235,3,10,431,5,436,0,436,411,847,51.48%
集集鎮,林尾里,0140,115,137,2,12,266,2,268,0,268,264,532,50.38%
集集鎮,田寮里,0141,126,144,1,8,279,0,279,0,279,306,585,47.69%
集集鎮,田寮里,0142,102,101,3,1,207,3,210,0,210,274,484,43.39%
集集鎮,隘寮里,0143,109,105,0,7,221,2,223,0,223,224,447,49.89%
集集鎮,玉映里,0144,110,102,0,7,219,3,222,0,222,231,453,49.01%
集集鎮,吳厝里,0145,178,214,3,6,401,2,403,0,403,424,827,48.73%
集集鎮,八張里,0146,161,205,2,10,378,1,379,0,379,348,727,52.13%
集集鎮,八張里,0147,150,159,3,8,320,0,320,0,320,304,624,51.28%
集集鎮,永昌里,0148,229,228,3,7,467,5,472,0,472,433,905,52.15%
集集鎮,廣明里,0149,70,144,0,1,215,4,219,0,219,237,456,48.03%
集集鎮,廣明里,0150,67,91,0,3,161,0,161,0,161,225,386,41.71%
集集鎮,富山里,0151,113,115,2,4,234,2,236,0,236,292,528,44.70%
名間鄉,南雅村,0152,199,205,5,42,451,2,453,0,453,497,950,47.68%
名間鄉,中正村,0153,191,158,2,31,382,1,383,0,383,465,848,45.17%
名間鄉,中正村,0154,162,133,1,19,315,3,318,0,318,343,661,48.11%
名間鄉,中正村,0155,162,153,1,29,345,1,346,0,346,476,822,42.09%
名間鄉,中正村,0156,185,190,2,29,406,4,410,0,410,481,891,46.02%
名間鄉,中山村,0157,162,176,1,70,409,2,411,0,411,595,1006,40.85%
名間鄉,中山村,0158,219,176,4,138,537,2,539,0,539,562,1101,48.96%
名間鄉,濁水村,0159,192,126,3,22,343,2,345,0,345,403,748,46.12%
名間鄉,濁水村,0160,184,150,2,21,357,1,358,0,358,378,736,48.64%
名間鄉,新民村,0161,228,166,0,28,422,1,423,0,423,503,926,45.68%
名間鄉,炭寮村,0162,231,150,1,31,413,4,417,0,417,504,921,45.28%
名間鄉,新街村,0163,265,142,1,14,422,3,425,0,425,493,918,46.30%
名間鄉,新街村,0164,243,186,2,21,452,1,453,0,453,527,980,46.22%
名間鄉,新街村,0165,255,168,2,30,455,2,457,0,457,511,968,47.21%
名間鄉,新街村,0166,296,232,2,20,550,2,552,0,552,607,1159,47.63%
名間鄉,東湖村,0167,182,124,0,18,324,1,325,0,325,365,690,47.10%
名間鄉,東湖村,0168,160,154,1,33,348,2,350,0,350,501,851,41.13%
名間鄉,仁和村,0169,137,198,3,27,365,2,367,0,367,451,818,44.87%
名間鄉,萬丹村,0170,254,133,5,20,412,3,415,0,415,479,894,46.42%
名間鄉,田仔村,0171,313,195,1,52,561,5,566,0,566,627,1193,47.44%
名間鄉,大坑村,0172,179,73,0,28,280,1,281,0,281,404,685,41.02%
名間鄉,大庄村,0173,295,117,1,56,469,3,472,0,472,442,914,51.64%
名間鄉,大庄村,0174,228,115,2,87,432,5,437,0,437,383,820,53.29%
名間鄉,?下村,0175,212,134,2,40,388,1,389,0,389,500,889,43.76%
名間鄉,赤水村,0176,180,121,3,16,320,0,320,0,320,297,617,51.86%
名間鄉,赤水村,0177,103,80,0,17,200,4,204,0,204,283,487,41.89%
名間鄉,竹圍村,0178,252,153,0,21,426,4,430,0,430,439,869,49.48%
名間鄉,三崙村,0179,248,195,3,64,510,5,515,0,515,557,1072,48.04%
名間鄉,三崙村,0180,119,86,2,11,218,1,219,0,219,197,416,52.64%
名間鄉,松山村,0181,190,118,1,15,324,0,324,0,324,362,686,47.23%
名間鄉,松山村,0182,226,134,1,17,378,2,380,0,380,346,726,52.34%
名間鄉,松柏村,0183,319,157,2,52,530,2,532,0,532,563,1095,48.58%
名間鄉,崁腳村,0184,178,197,1,36,412,2,414,0,414,396,810,51.11%
名間鄉,埔中村,0185,206,130,3,26,365,7,372,0,372,425,797,46.68%
名間鄉,新厝村,0186,130,146,1,76,353,3,356,0,356,337,693,51.37%
名間鄉,新光村,0187,176,111,1,40,328,0,328,0,328,378,706,46.46%
名間鄉,新光村,0188,184,155,3,47,389,2,391,0,391,530,921,42.45%
鹿谷鄉,鹿谷村,0189,174,208,0,9,391,3,394,0,394,485,879,44.82%
鹿谷鄉,鹿谷村,0190,199,194,1,6,400,1,401,0,401,447,848,47.29%
鹿谷鄉,彰雅村,0191,158,218,1,9,386,1,387,0,387,430,817,47.37%
鹿谷鄉,彰雅村,0192,91,104,2,0,197,2,199,0,199,223,422,47.16%
鹿谷鄉,廣興村,0193,153,222,3,10,388,0,388,0,388,377,765,50.72%
鹿谷鄉,廣興村,0194,202,288,1,9,500,2,502,0,502,556,1058,47.45%
鹿谷鄉,永隆村,0195,152,180,2,6,340,3,343,0,343,353,696,49.28%
鹿谷鄉,永隆村,0196,244,143,1,5,393,2,395,0,395,398,793,49.81%
鹿谷鄉,鳳凰村,0197,203,176,0,4,383,3,386,0,386,352,738,52.30%
鹿谷鄉,鳳凰村,0198,135,102,0,8,245,4,249,0,249,263,512,48.63%
鹿谷鄉,內湖村,0199,95,151,0,3,249,0,249,0,249,284,533,46.72%
鹿谷鄉,內湖村,0200,100,121,2,2,225,1,226,0,226,197,423,53.43%
鹿谷鄉,和雅村,0201,78,200,0,5,283,0,283,0,283,313,596,47.48%
鹿谷鄉,竹林村,0202,162,175,1,1,339,2,341,1,342,322,664,51.36%
鹿谷鄉,竹林村,0203,146,217,1,3,367,2,369,0,369,351,720,51.25%
鹿谷鄉,竹豐村,0204,127,281,0,5,413,1,414,0,414,455,869,47.64%
鹿谷鄉,初鄉村,0205,144,161,2,2,309,2,311,0,311,365,676,46.01%
鹿谷鄉,初鄉村,0206,140,150,3,2,295,3,298,0,298,374,672,44.35%
鹿谷鄉,秀峰村,0207,176,139,0,5,320,2,322,0,322,395,717,44.91%
鹿谷鄉,清水村,0208,168,137,0,6,311,3,314,0,314,331,645,48.68%
鹿谷鄉,瑞田村,0209,197,104,0,5,306,0,306,0,306,359,665,46.02%
水里鄉,水里村,0210,108,154,0,9,271,1,272,0,272,394,666,40.84%
水里鄉,新城村,0211,109,104,0,4,217,2,219,0,219,268,487,44.97%
水里鄉,新城村,0212,163,148,3,5,319,3,322,0,322,570,892,36.10%
水里鄉,中央村,0213,114,130,2,6,252,0,252,0,252,309,561,44.92%
水里鄉,城中村,0214,186,207,3,8,404,1,405,0,405,420,825,49.09%
水里鄉,農富村,0215,103,103,1,2,209,1,210,0,210,177,387,54.26%
水里鄉,車埕村,0216,83,94,4,0,181,0,181,0,181,235,416,43.51%
水里鄉,新興村,0217,78,134,0,3,215,1,216,0,216,391,607,35.58%
水里鄉,北埔村,0218,200,224,2,11,437,0,437,0,437,520,957,45.66%
水里鄉,南光村,0219,146,149,3,3,301,0,301,0,301,381,682,44.13%
水里鄉,南光村,0220,197,167,4,3,371,0,371,0,371,388,759,48.88%
水里鄉,鉅工村,0221,188,174,0,3,365,3,368,0,368,470,838,43.91%
水里鄉,永豐村,0222,200,109,0,6,315,1,316,0,316,395,711,44.44%
水里鄉,永豐村,0223,119,140,2,1,262,1,263,0,263,270,533,49.34%
水里鄉,民和村,0224,165,186,1,5,357,1,358,0,358,421,779,45.96%
水里鄉,頂崁村,0225,219,235,6,5,465,1,466,0,466,587,1053,44.25%
水里鄉,新山村,0226,40,35,1,1,77,2,79,0,79,103,182,43.41%
水里鄉,郡坑村,0227,59,84,0,2,145,1,146,0,146,160,306,47.71%
水里鄉,上安村,0228,196,207,3,4,410,2,412,0,412,617,1029,40.04%
水里鄉,興隆村,0229,70,39,1,1,111,1,112,0,112,155,267,41.95%
水里鄉,永興村,0230,73,62,1,0,136,1,137,0,137,154,291,47.08%
水里鄉,玉峰村,0231,231,110,0,7,348,3,351,0,351,433,784,44.77%
信義鄉,明德村,0232,52,35,0,1,88,1,89,0,89,82,171,52.05%
信義鄉,明德村,0233,109,141,0,1,251,1,252,0,252,271,523,48.18%
信義鄉,明德村,0234,42,71,1,0,114,0,114,0,114,165,279,40.86%
信義鄉,愛國村,0235,75,146,0,1,222,0,222,0,222,233,455,48.79%
信義鄉,自強村,0236,66,109,0,1,176,4,180,0,180,194,374,48.13%
信義鄉,自強村,0237,90,64,1,1,156,2,158,0,158,131,289,54.67%
信義鄉,豐丘村,0238,90,57,3,6,156,2,158,0,158,155,313,50.48%
信義鄉,新鄉村,0239,20,10,0,0,30,0,30,0,30,25,55,54.55%
信義鄉,羅娜村,0240,27,11,0,0,38,1,39,0,39,44,83,46.99%
信義鄉,羅娜村,0241,27,43,0,2,72,1,73,0,73,93,166,43.98%
信義鄉,望美村,0242,44,71,0,0,115,0,115,0,115,184,299,38.46%
信義鄉,卡里布安村,0243,8,17,1,0,26,0,26,0,26,24,50,52.00%
信義鄉,同富村,0244,173,275,1,2,451,4,455,0,455,416,871,52.24%
信義鄉,同富村,0245,59,125,0,3,187,1,188,0,188,255,443,42.44%
信義鄉,神木村,0246,54,125,1,1,181,4,185,0,185,259,444,41.67%
信義鄉,神木村,0247,11,41,0,0,52,1,53,0,53,87,140,37.86%
信義鄉,東埔村,0248,56,34,3,0,93,1,94,0,94,188,282,33.33%
信義鄉,人和村,0249,3,6,0,0,9,0,9,0,9,35,44,20.45%
信義鄉,人和村,0250,20,26,0,1,47,1,48,0,48,70,118,40.68%
信義鄉,地利村,0251,13,5,0,0,18,0,18,0,18,53,71,25.35%
信義鄉,雙龍村,0252,3,1,0,0,4,0,4,0,4,11,15,26.67%
信義鄉,潭南村,0253,1,3,0,0,4,0,4,0,4,11,15,26.67%
,,,,,,,,,,,,,,
