行政區別,村里別,投開票所別,號次1,號次2,號次3,有效票數A（A＝1＋2＋…＋N）,無效票數B,投票數C（C＝A＋B）,已領未投票數D（D＝E－C）,發出票數E（E＝C＋D）,用餘票數F,選舉人數(原領票數)G（G＝E＋F）,投票率H（H＝C÷G）
苗栗市,中苗里,0001,20,111,183,314,2,316,0,316,805,1121,28.19%
苗栗市,青苗里,0002,26,66,142,234,1,235,0,235,719,954,24.63%
苗栗市,維祥里,0003,9,70,154,233,0,233,0,233,815,1048,22.23%
苗栗市,維祥里,0004,14,76,154,244,2,246,0,246,791,1037,23.72%
苗栗市,維祥里,0005,18,83,161,262,1,263,0,263,770,1033,25.46%
苗栗市,維新里,0006,21,132,234,387,5,392,0,392,751,1143,34.30%
苗栗市,維新里,0007,25,92,258,375,2,377,0,377,833,1210,31.16%
苗栗市,維新里,0008,6,103,218,327,1,328,0,328,744,1072,30.60%
苗栗市,玉清里,0009,19,109,251,379,1,380,0,380,710,1090,34.86%
苗栗市,玉清里,0010,20,87,271,378,8,386,0,386,653,1039,37.15%
苗栗市,玉華里,0011,23,108,183,314,1,315,0,315,716,1031,30.55%
苗栗市,玉華里,0012,18,79,242,339,4,343,0,343,870,1213,28.28%
苗栗市,玉華里,0013,22,91,264,377,4,381,0,381,843,1224,31.13%
苗栗市,綠苗里,0014,24,79,177,280,4,284,0,284,466,750,37.87%
苗栗市,高苗里,0015,13,101,148,262,0,262,0,262,747,1009,25.97%
苗栗市,高苗里,0016,8,81,154,243,0,243,0,243,753,996,24.40%
苗栗市,高苗里,0017,21,160,233,414,5,419,0,419,688,1107,37.85%
苗栗市,新苗里,0018,7,110,166,283,3,286,0,286,495,781,36.62%
苗栗市,玉苗里,0019,15,93,176,284,2,286,0,286,500,786,36.39%
苗栗市,大同里,0020,12,50,125,187,3,190,0,190,283,473,40.17%
苗栗市,恭敬里,0021,18,139,235,392,4,396,0,396,898,1294,30.60%
苗栗市,水源里,0022,12,128,184,324,4,328,0,328,875,1203,27.27%
苗栗市,水源里,0023,15,126,205,346,2,348,0,348,824,1172,29.69%
苗栗市,勝利里,0024,13,133,224,370,2,372,0,372,767,1139,32.66%
苗栗市,勝利里,0025,10,120,200,330,3,333,0,333,751,1084,30.72%
苗栗市,勝利里,0026,7,95,167,269,2,271,0,271,468,739,36.67%
苗栗市,勝利里,0027,14,79,128,221,3,224,0,224,493,717,31.24%
苗栗市,清華里,0028,13,75,181,269,3,272,0,272,683,955,28.48%
苗栗市,清華里,0029,19,108,219,346,7,353,0,353,702,1055,33.46%
苗栗市,清華里,0030,21,89,190,300,2,302,0,302,624,926,32.61%
苗栗市,上苗里,0031,9,53,144,206,1,207,0,207,327,534,38.76%
苗栗市,上苗里,0032,18,85,164,267,4,271,0,271,663,934,29.01%
苗栗市,北苗里,0033,17,113,243,373,5,378,0,378,721,1099,34.39%
苗栗市,北苗里,0034,10,115,190,315,4,319,0,319,1032,1351,23.61%
苗栗市,北苗里,0035,11,108,195,314,1,315,0,315,910,1225,25.71%
苗栗市,北苗里,0036,23,104,182,309,3,312,0,312,931,1243,25.10%
苗栗市,嘉盛里,0037,10,132,227,369,3,372,0,372,775,1147,32.43%
苗栗市,嘉盛里,0038,16,87,192,295,7,302,0,302,719,1021,29.58%
苗栗市,嘉盛里,0039,7,98,177,282,0,282,0,282,824,1106,25.50%
苗栗市,福星里,0040,10,95,196,301,0,301,0,301,757,1058,28.45%
苗栗市,福星里,0041,11,116,230,357,1,358,0,358,713,1071,33.43%
苗栗市,福星里,0042,13,71,187,271,1,272,0,272,680,952,28.57%
苗栗市,福星里,0043,10,98,148,256,1,257,0,257,736,993,25.88%
苗栗市,福安里,0044,14,125,187,326,2,328,0,328,996,1324,24.77%
苗栗市,福安里,0045,10,104,196,310,1,311,0,311,746,1057,29.42%
苗栗市,福安里,0046,21,84,156,261,0,261,0,261,826,1087,24.01%
苗栗市,嘉新里,0047,8,95,195,298,5,303,0,303,661,964,31.43%
苗栗市,嘉新里,0048,20,85,176,281,4,285,0,285,519,804,35.45%
苗栗市,嘉新里,0049,16,91,158,265,3,268,0,268,651,919,29.16%
苗栗市,建功里,0050,25,88,189,302,1,303,0,303,663,966,31.37%
苗栗市,建功里,0051,14,126,151,291,0,291,0,291,686,977,29.79%
苗栗市,建功里,0052,11,83,182,276,2,278,0,278,747,1025,27.12%
苗栗市,建功里,0053,7,86,182,275,2,277,0,277,686,963,28.76%
苗栗市,福麗里,0054,15,96,168,279,1,280,0,280,763,1043,26.85%
苗栗市,福麗里,0055,19,111,224,354,2,356,0,356,920,1276,27.90%
苗栗市,福麗里,0056,29,109,217,355,3,358,0,358,976,1334,26.84%
苗栗市,福麗里,0057,17,137,217,371,2,373,0,373,1218,1591,23.44%
苗栗市,文山里,0058,12,102,165,279,3,282,0,282,851,1133,24.89%
苗栗市,文山里,0059,15,108,165,288,2,290,0,290,776,1066,27.20%
苗栗市,文山里,0060,11,86,157,254,3,257,0,257,763,1020,25.20%
苗栗市,文山里,0061,17,108,125,250,4,254,0,254,800,1054,24.10%
苗栗市,文聖里,0062,17,121,253,391,4,395,0,395,860,1255,31.47%
苗栗市,文聖里,0063,20,132,210,362,3,365,0,365,1026,1391,26.24%
苗栗市,文聖里,0064,17,75,137,229,1,230,0,230,656,886,25.96%
苗栗市,新川里,0065,20,118,262,400,4,404,0,404,713,1117,36.17%
苗栗市,南勢里,0066,13,143,166,322,1,323,0,323,664,987,32.73%
苗栗市,南勢里,0067,13,109,159,281,2,283,0,283,542,825,34.30%
苗栗市,新英里,0068,4,64,117,185,2,187,0,187,572,759,24.64%
苗栗市,新英里,0069,16,71,134,221,7,228,0,228,604,832,27.40%
